unix_epoch_in_miliseconds,timezone_at_sync,bbi
1636616785236,-8,822
1636616786058,-8,827
1636616786889,-8,831
1636616787720,-8,830
1636616788550,-8,828
1636616789378,-8,809
1636616790187,-8,775
1636616790964,-8,768
1636616791732,-8,779
1636616792511,-8,785
1636616793296,-8,793
1636616794089,-8,795
1636616795616,-8,802
1636616796418,-8,814
1636616797232,-8,824
1636616798056,-8,810
1636616798872,-8,816
1636616799688,-8,815
1636616800503,-8,805
1636616801308,-8,821
1636616802129,-8,754
1636616803624,-8,756
1636616804380,-8,779
1636616805159,-8,778
1636616805937,-8,751
1636616806881,-8,699
1636616807580,-8,696
1636616808276,-8,742
1636616809018,-8,760
1636616809778,-8,764
1636616810543,-8,769
1636616811312,-8,780
1636616812092,-8,802
1636616812894,-8,841
1636616813735,-8,853
1636616814592,-8,856
1636616815448,-8,849
1636616816297,-8,833
1636616817130,-8,799
1636616817929,-8,745
1636616819236,-8,758
1636616819994,-8,818
1636616820812,-8,795
1636616821607,-8,823
1636616822433,-8,783
1636616823216,-8,820
1636616824036,-8,822
1636616824858,-8,826
1636616825684,-8,807
1636616827316,-8,820
1636616828136,-8,851
1636616828987,-8,799
1636616829786,-8,796
1636616830587,-8,821
1636616831408,-8,837
1636616832245,-8,775
1636616833020,-8,783
1636616833803,-8,815
1636616834620,-8,840
1636616835460,-8,811
1636616836271,-8,815
1636616837086,-8,826
1636616837912,-8,810
1636616838723,-8,773
1636616839496,-8,813
1636616840309,-8,800
1636616841109,-8,786
1636616841895,-8,776
1636616842674,-8,826
1636616843500,-8,805
1636616845118,-8,806
1636616845924,-8,818
1636616846742,-8,827
1636616847569,-8,820
1636616848389,-8,808
1636616850195,-8,801
1636616850996,-8,810
1636616851806,-8,814
1636616852620,-8,804
1636616853424,-8,798
1636616854824,-8,836
1636616855660,-8,836
1636616856496,-8,799
1636616857301,-8,763
1636616858064,-8,775
1636616858839,-8,798
1636616859637,-8,808
1636616860445,-8,813
1636616861262,-8,818
1636616862080,-8,820
1636616862900,-8,797
1636616863697,-8,781
1636616864478,-8,792
1636616866092,-8,802
1636616866894,-8,782
1636616867676,-8,781
1636616868457,-8,782
1636616870024,-8,788
1636616870812,-8,791
1636616871603,-8,784
1636616872387,-8,792
1636616874179,-8,781
1636616874960,-8,777
1636616875737,-8,803
1636616876540,-8,842
1636616877382,-8,890
1636616878917,-8,811
1636616879728,-8,812
1636616880540,-8,816
1636616881358,-8,818
1636616882176,-8,818
1636616882994,-8,818
1636616883812,-8,819
1636616884631,-8,820
1636616885457,-8,819
1636616886276,-8,816
1636616887092,-8,814
1636616887906,-8,811
1636616888717,-8,806
1636616890324,-8,803
1636616891127,-8,810
1636616891937,-8,825
1636616892762,-8,820
1636616893588,-8,796
1636616894384,-8,826
1636616895210,-8,846
1636616896056,-8,869
1636616896925,-8,863
1636616898652,-8,945
1636616899597,-8,896
1636616900493,-8,844
1636616901337,-8,802
1636616902141,-8,1075
1636616903216,-8,837
1636616904053,-8,828
1636616904881,-8,958
1636616905839,-8,850
1636616906691,-8,829
1636616907520,-8,901
1636616908421,-8,851
1636616909272,-8,803
1636616910075,-8,827
1636616910904,-8,776
1636616911680,-8,750
1636616912430,-8,759
1636616913189,-8,741
1636616913930,-8,712
1636616914643,-8,653
1636616915296,-8,644
1636616915940,-8,684
1636616916624,-8,706
1636616917330,-8,714
1636616918051,-8,709
1636616918760,-8,713
1636616919473,-8,718
1636616921096,-8,776
1636616921872,-8,691
1636616922563,-8,684
1636616923247,-8,717
1636616923964,-8,718
1636616924686,-8,722
1636616925408,-8,737
1636616926145,-8,734
1636616926879,-8,713
1636616928511,-8,773
1636616929284,-8,768
1636616930052,-8,798
1636616930850,-8,781
1636616931631,-8,744
1636616933116,-8,741
1636616933857,-8,760
1636616934617,-8,760
1636616935377,-8,762
1636616937142,-8,822
1636616937964,-8,758
1636616938722,-8,755
1636616939477,-8,808
1636616940285,-8,751
1636616950864,-8,684
1636616951548,-8,763
1636616952311,-8,757
1636616953068,-8,730
1636616953798,-8,683
1636616954485,-8,679
1636616955164,-8,683
1636616955847,-8,681
1636616956528,-8,682
1636616957210,-8,674
1636616958532,-8,644
1636616959176,-8,661
1636616959837,-8,663
1636616960500,-8,661
1636616961165,-8,711
1636616961876,-8,813
1636616962689,-8,691
1636616963380,-8,657
1636616964037,-8,650
1636616964691,-8,661
1636616965352,-8,693
1636616966045,-8,672
1636616966717,-8,671
1636616967388,-8,655
1636616968044,-8,652
1636616968696,-8,653
1636616969349,-8,645
1636616969994,-8,641
1636616970635,-8,638
1636616971278,-8,638
1636616971916,-8,613
1636616972529,-8,639
1636616973168,-8,633
1636616973801,-8,631
1636616974435,-8,633
1636616975068,-8,610
1636616975678,-8,592
1636616976270,-8,623
1636616976893,-8,650
1636616978172,-8,634
1636616978806,-8,611
1636616979417,-8,617
1636616980034,-8,623
1636616980662,-8,638
1636616981300,-8,665
1636616981965,-8,654
1636616982619,-8,656
1636616983275,-8,654
1636616983935,-8,653
1636616984588,-8,653
1636616985241,-8,640
1636616985881,-8,619
1636616986500,-8,622
1636616987744,-8,629
1636616988373,-8,621
1636616990080,-8,624
1636616990704,-8,625
1636616991329,-8,619
1636616991948,-8,614
1636616992562,-8,630
1636616993848,-8,720
1636616994568,-8,740
1636616995308,-8,720
1636616996028,-8,695
1636616996724,-8,724
1636616997448,-8,651
1636616998099,-8,630
1636616998729,-8,644
1636616999373,-8,656
1636617000031,-8,621
1636617000652,-8,581
1636617001233,-8,650
1636617001883,-8,665
1636617002548,-8,665
1636617003217,-8,671
1636617003888,-8,697
1636617004585,-8,676
1636617005261,-8,679
1636617005940,-8,682
1636617006623,-8,677
1636617007300,-8,678
1636617007978,-8,725
1636617008703,-8,857
1636617009560,-8,728
1636617010293,-8,711
1636617011004,-8,713
1636617011717,-8,720
1636617012437,-8,752
1636617013189,-8,777
1636617013972,-8,756
1636617014728,-8,741
1636617015469,-8,748
1636617017166,-8,842
1636617018008,-8,748
1636617018756,-8,748
1636617019504,-8,745
1636617020249,-8,751
1636617021780,-8,794
1636617022574,-8,789
1636617023363,-8,774
1636617025355,-8,781
1636617026136,-8,822
1636617026958,-8,823
1636617027781,-8,827
1636617028608,-8,859
1636617029469,-8,859
1636617030328,-8,851
1636617031179,-8,842
1636617032021,-8,837
1636617032858,-8,830
1636617033689,-8,827
1636617034580,-8,787
1636617035367,-8,832
1636617036199,-8,821
1636617037020,-8,815
1636617038624,-8,832
1636617039456,-8,822
1636617040278,-8,806
1636617041084,-8,795
1636617041881,-8,795
1636617042676,-8,802
1636617043478,-8,817
1636617044295,-8,842
1636617045137,-8,914
1636617047054,-8,926
1636617047980,-8,895
1636617048875,-8,905
1636617049780,-8,889
1636617050669,-8,863
1636617052224,-8,876
1636617053100,-8,886
1636617054180,-8,840
1636617055020,-8,870
1636617055890,-8,831
1636617056721,-8,850
1636617057577,-8,863
1636617061112,-8,840
1636617061952,-8,833
1636617062785,-8,826
1636617063611,-8,815
1636617064426,-8,799
1636617065813,-8,822
1636617066635,-8,850
1636617067485,-8,857
1636617068346,-8,846
1636617069192,-8,846
1636617070038,-8,855
1636617070893,-8,864
1636617071757,-8,873
1636617073524,-8,915
1636617074439,-8,908
1636617075347,-8,892
1636617076239,-8,870
1636617078114,-8,834
1636617078948,-8,811
1636617079759,-8,812
1636617080571,-8,817
1636617081388,-8,837
1636617083055,-8,988
1636617084043,-8,872
1636617084915,-8,847
1636617086604,-8,839
1636617087443,-8,833
1636617088276,-8,831
1636617089107,-8,828
1636617089938,-8,822
1636617090760,-8,805
1636617091565,-8,777
1636617092342,-8,774
1636617093116,-8,807
1636617094612,-8,756
1636617095368,-8,809
1636617096177,-8,802
1636617096979,-8,805
1636617098532,-8,794
1636617099326,-8,780
1636617100106,-8,787
1636617100893,-8,787
1636617101682,-8,826
1636617102508,-8,766
1636617103274,-8,820
1636617104094,-8,801
1636617104895,-8,786
1636617105683,-8,777
1636617106460,-8,806
1636617107266,-8,802
1636617108068,-8,761
1636617108829,-8,796
1636617109626,-8,778
1636617110404,-8,779
1636617111183,-8,798
1636617111981,-8,781
1636617112762,-8,769
1636617113534,-8,782
1636617114316,-8,788
1636617115104,-8,782
1636617115886,-8,757
1636617116643,-8,749
1636617118140,-8,736
1636617118876,-8,769
1636617119645,-8,736
1636617120381,-8,787
1636617122171,-8,789
1636617122960,-8,783
1636617123743,-8,776
